Iteration,PSO_RMSE,GA_RMSE
0,27.787232346515484,34.03039888530978
1,22.859764229688313,15.737228522419818
2,11.504522986421389,12.127427294112271
3,10.033786128685168,14.331047708484952
4,10.033786128685168,14.331047708484952
5,10.033786128685168,9.7918645076421
6,10.033786128685168,12.713463721104564
7,9.243008908949388,8.71427919494344
8,9.243008908949388,8.659060844947831
9,9.243008908949388,8.78480106172333
10,9.243008908949388,8.738392892725686
11,9.243008908949388,8.799042907518263
12,9.243008908949388,8.828212503163394
13,9.243008908949388,8.502704578050146
14,9.243008908949388,8.502704578050148
15,9.243008908949388,8.66096501732532
16,9.243008908949388,8.870635044098188
17,9.243008908949388,8.66457880094594
18,9.243008908949388,8.711762148972943
19,9.243008908949388,8.711762148972943
20,9.243008908949388,8.711762148972939
21,9.243008908949388,8.683039964083777
22,9.051576883927746,8.683039964083777
23,9.051576883927746,8.682022535596852
24,9.051576883927746,8.634785532365575
25,8.788127018112101,8.634785532365575
26,8.788127018112101,8.693736454531065
27,8.788127018112101,8.693736454531065
28,8.788127018112101,8.665162594914849
29,8.788127018112101,8.853120346183584
30,8.745371472938118,9.005464885771366
31,8.745371472938118,8.886179503001905
32,8.745371472938118,8.75779524446508
33,8.745371472938118,8.669309326024905
34,8.745371472938118,8.854421688596409
35,8.745371472938118,8.769616966602072
36,8.745371472938118,8.896023643804478
37,8.745371472938118,8.694366704938542
38,8.69889690838489,8.76301977149844
39,8.69889690838489,8.773223024901615
40,8.625790193853744,8.762342912568927
41,8.625790193853744,8.670316594480568
42,8.625790193853744,8.550576416273767
43,8.625790193853744,8.670316594480573
44,8.625790193853744,8.696284730192144
45,8.625790193853744,8.697598356687454
46,8.625790193853744,8.81058214340599
47,8.625790193853744,8.789271484199844
48,8.625790193853744,8.748873231896965
49,8.625790193853744,8.664773956528295
50,8.625790193853744,8.664773956528295
51,8.50783712689015,8.597052350225637
52,8.50783712689015,8.679016390917251
53,8.50783712689015,8.695330274309025
54,8.50783712689015,8.68851209858036
55,8.50783712689015,8.716424509870585
56,8.50783712689015,8.684461556231435
57,8.50783712689015,8.72038608840436
58,8.50783712689015,8.640763022473308
59,8.50783712689015,8.734348790508054
60,8.50783712689015,8.726038817356331
61,8.50783712689015,8.717791805232425
62,8.50783712689015,8.716261188455425
63,8.467083226588468,8.71054104537173
64,8.467083226588468,8.704787694454895
65,8.467083226588468,8.704787694454895
66,8.467083226588468,8.590980468494948
67,8.467083226588468,8.701134829761344
68,8.467083226588468,8.684307829124517
69,8.467083226588468,8.746600332622272
70,8.467083226588468,8.731778424329306
71,8.467083226588468,8.73999055668782
72,8.467083226588468,8.7786643808003
73,8.441906498314362,8.72706202002178
74,8.441906498314362,8.707379420182667
75,8.441906498314362,8.814989439203913
76,8.39432854836356,8.80850057445127
77,8.355732263843752,8.745621216274161
78,8.355732263843752,8.745621216274161
79,8.330548907711945,8.739864061699208
80,8.299605130022284,8.727019185121327
81,8.277458860046261,8.691701060123364
82,8.262184517198971,8.811731267241987
83,8.252231367363947,8.78067045309793
84,8.246357858047292,8.78067045309793
85,8.243575503944829,8.65338980363024
86,8.243101620732482,8.72522834296086
87,8.243101620732482,8.76293504892097
88,8.243101620732482,8.750592983680258
89,8.243101620732482,8.730296615259459
90,8.243101620732482,8.731190061806386
91,8.177258538338675,8.739350910674057
92,8.177258538338675,8.763425138722349
93,8.177258538338675,8.70296565343972
94,8.168088489413867,8.752971410563887
95,8.168088489413867,8.743605818480516
96,8.168088489413867,8.746932925824094
97,8.168088489413867,8.746932925824094
98,8.168088489413867,8.822717106107968
99,8.168088489413867,8.822717106107968
100,,8.86136277033749
