Model,RMSE,MAE,MAPE,R2,MSE,Mean_Residual,Std_Residual,Min_Error,Max_Error
ANN,7.395826756968693,5.4897710243157585,0.03977669411716907,0.34341828712332634,54.698253419094044,0.274757030790886,7.390721344572871,0.000701904296875,34.07673645019531
PSO-Optimized,8.168088489413867,6.086606852132225,0.04421880921486537,0.19914075810861775,66.7176695708953,-0.5026180361264787,8.152609685288242,0.004844842495231205,32.313234994077305
GA-Optimized,8.502704578050146,6.41596026154758,0.04643257200304061,0.13218030208977838,72.29598514159493,-0.48984865739778627,8.488582533876933,0.0028133539642567484,32.70828085078875
Egli Model,19.10299241601038,15.001310251765762,0.1052279864462285,-3.380443974420415,364.92431924615016,13.685056268256673,13.328298998026675,0.005680744604632082,106.66292897193098
COST-231 Urban,26.769960939863886,24.129571007018882,0.16811323081632631,-7.6022250159550655,716.6308087218382,23.946906009064836,11.965638358017209,0.010088073104483897,104.72383323701138
COST-231 Suburban,31.322513769052552,28.98493633457651,0.20196945999690372,-10.77683366655936,981.0998688124868,28.946906009064836,11.965638358017209,0.05659786296055813,109.72383323701138
Okumura-Hata Suburban,39.67847746930161,37.832788543813734,0.2640367097267671,-17.898412401640243,1574.3815742818754,37.83127109901308,11.965638358017207,2.7435401995799538,118.60819832695962
