Model,RMSE,p1,p2,p3,p4,p5,p6,p7,p8,p9
PSO-Optimized,8.168088489413867,55.51388211115757,30.888887291164963,37.284666071903196,20.515708227332933,48.31860226623628,42.87042404327485,61.453196692855485,78.14410863227864,44.00883872945697
GA-Optimized,8.502704578050146,58.084225076563456,54.15318172943937,44.03534085973422,32.37414491625368,62.71411422677438,46.45078409270335,101.7415659082047,62.87666968156299,31.60265943360385
